tf,group,n_cells,mean_shift_length,mean_shift_length_random,mean_net_shift,mean_delta_x,mean_delta_y,vector_strength,coherence,p90_shift_length,recovery_index_group,mean_shift_rank_within_group,recovery_index_rank_within_group
THRB,internal_control,1434,0.7499645683717036,0.21583862031501325,0.5341259480566901,-0.03609118460697328,0.18537844077242965,0.18885904773018378,0.2518239600150763,1.1631451602129903,0.6686316594431327,2,1
NFE2L2,internal_control,1434,0.7568353032933234,0.18456745419600573,0.5722678490973175,0.028116246490425035,0.09483505415613837,0.0989151697845585,0.1306957659393521,1.1376679919783794,0.6470608339575571,1,2
BHLHE40,internal_control,1434,0.6000002810465758,0.22453693952898302,0.3754633415175927,-0.02065988827564771,-0.027647936891187868,0.03451433612140545,0.05752386649499313,0.9622106770108616,0.3970614446488147,3,3
SOX2,internal_control,1434,0.5591147903332238,0.22920030953733397,0.32991448079588986,-0.01813544259830608,-0.013988697126379238,0.02290366620281621,0.04096415719605955,0.9000494492395189,0.34342914944846903,4,4
NFE2L2,lesion,888,0.6063567320784082,0.1676729246635925,0.4386838074148158,-0.2066311373007597,-0.03160332273681543,0.20903396114079817,0.3447375937916202,1.0862422331180044,0.5899146076183459,1,1
THRB,lesion,888,0.5914830669260396,0.18132409550200201,0.4101589714240376,-0.22324817386469675,-0.03017230288885617,0.22527786175196787,0.3808695023880838,1.0689228531636907,0.5663760147703191,2,2
BHLHE40,lesion,888,0.5135175070440174,0.21193755451282453,0.3015799525311929,-0.2406758881716467,-0.03575102448806656,0.24331670493239327,0.47382358171035677,0.9852764763465713,0.44447564581156207,3,3
SOX2,lesion,888,0.4627726825685532,0.22140320930777632,0.2413694732607769,-0.2742648432812987,-0.027897316663794962,0.2756800038761524,0.5957136487623178,0.9308126687498174,0.385156562876793,4,4
