tf,n_cells,mean_shift_length,median_shift_length,p90_shift_length,max_shift_length,expected_regulon_effect_group,expected_expr_higher_group,regulon_fdr,expr_wilcoxon_fdr
BHLHE40,2322,0.5669267654073544,0.5856411222180309,0.9742582749891352,1.5994334401462786,lesion,lesion,1.2760362542900071e-34,1.529949104785675e-07
NFE2L2,2322,0.6992879427253453,0.7076135528243452,1.1206379278605547,1.6369449434278296,lesion,lesion,1.6378667723003972e-19,4.488026735548041e-06
SOX2,2322,0.5222707801286469,0.5163736306619102,0.9170698125662697,1.5609121482702242,lesion,lesion,9.389270902003821e-66,6.358243030105812e-06
THRB,2322,0.689356655674137,0.6944993107353131,1.1237208038457478,1.6596790175350649,internal_control,internal_control,4.053395110306913e-114,7.47524063251269e-21
