tf,n_cells,mean_shift_length,median_shift_length,p90_shift_length,max_shift_length,mean_shift_length_random,mean_net_shift,lesion_mean_shift_length,lesion_mean_shift_length_random,lesion_mean_net_shift,lesion_mean_delta_x,lesion_mean_delta_y,lesion_vector_strength,lesion_coherence,lesion_p90_shift_length,internal_control_mean_shift_length,internal_control_mean_shift_length_random,internal_control_mean_net_shift,internal_control_mean_delta_x,internal_control_mean_delta_y,internal_control_vector_strength,internal_control_coherence,internal_control_p90_shift_length,expected_regulon_effect_group,expected_expr_higher_group,regulon_fdr,expr_wilcoxon_fdr,shortlist_tier,shortlist_keep,shortlist_reason_tags,target_group,other_group,matched_group_mean_net_shift,unmatched_group_mean_net_shift,matched_group_coherence,matched_group_vector_strength,direction_agreement_factor,group_selectivity,lesion_minus_internal_control_shift,recovery_index,overall_shift_rank,overall_net_shift_rank,recovery_index_rank,lesion_shift_rank,internal_control_shift_rank
NFE2L2,2322,0.6992879427253453,0.7076135528243452,1.1206379278605547,1.6369449434278296,0.17810649716552207,0.5211814455598233,0.6063567320784082,0.1676729246635925,0.4386838074148158,-0.2066311373007597,-0.03160332273681543,0.20903396114079817,0.3447375937916202,1.0862422331180044,0.7568353032933234,0.18456745419600573,0.5722678490973175,0.028116246490425035,0.09483505415613837,0.0989151697845585,0.1306957659393521,1.1376679919783794,lesion,lesion,1.6378667723003972e-19,4.488026735548041e-06,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong,lesion,internal_control,0.4386838074148158,0.5722678490973175,0.3447375937916202,0.20903396114079817,1.0,-0.13213692335323018,-0.15047857121491515,0.6082438186261574,1,1,2,1,1
THRB,2322,0.689356655674137,0.6944993107353131,1.1237208038457478,1.6596790175350649,0.202639267156549,0.48671738851758795,0.5914830669260396,0.18132409550200201,0.4101589714240376,-0.22324817386469675,-0.03017230288885617,0.22527786175196787,0.3808695023880838,1.0689228531636907,0.7499645683717036,0.21583862031501325,0.5341259480566901,-0.03609118460697328,0.18537844077242965,0.18885904773018378,0.2518239600150763,1.1631451602129903,internal_control,internal_control,4.053395110306913e-114,7.47524063251269e-21,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong,internal_control,lesion,0.5341259480566901,0.4101589714240376,0.2518239600150763,0.18885904773018378,1.0,0.13128132615899651,-0.15848150144566397,0.6892721643872252,2,2,1,2,2
BHLHE40,2322,0.5669267654073544,0.5856411222180309,0.9742582749891352,1.5994334401462786,0.21971857006543924,0.34720819534191527,0.5135175070440174,0.21193755451282453,0.3015799525311929,-0.2406758881716467,-0.03575102448806656,0.24331670493239327,0.47382358171035677,0.9852764763465713,0.6000002810465758,0.22453693952898302,0.3754633415175927,-0.02065988827564771,-0.027647936891187868,0.03451433612140545,0.05752386649499313,0.9622106770108616,lesion,lesion,1.2760362542900071e-34,1.529949104785675e-07,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong,lesion,internal_control,0.3015799525311929,0.3754633415175927,0.47382358171035677,0.24331670493239327,1.0,-0.10912653522560324,-0.08648277400255833,0.4558809997532178,3,3,3,3,3
SOX2,2322,0.5222707801286469,0.5163736306619102,0.9170698125662696,1.5609121482702242,0.22621847275703802,0.2960523073716089,0.4627726825685532,0.22140320930777632,0.2413694732607769,-0.2742648432812987,-0.027897316663794962,0.2756800038761524,0.5957136487623178,0.9308126687498174,0.5591147903332238,0.22920030953733397,0.32991448079588986,-0.01813544259830608,-0.013988697126379238,0.02290366620281621,0.04096415719605955,0.9000494492395189,lesion,lesion,9.389270902003821e-66,6.358243030105812e-06,high,True,regulon_sig;expr_sig;expr_detected;direction_match;logFC_strong,lesion,internal_control,0.2413694732607769,0.32991448079588986,0.5957136487623178,0.2756800038761524,1.0,-0.1549929886028919,-0.09634210776467056,0.3991937402263979,4,4,4,4,4
