tf,group,n_cells,mean_shift_length,median_shift_length,p90_shift_length,mean_delta_x,mean_delta_y,expected_regulon_effect_group,expected_expr_higher_group
BHLHE40,internal_control,1434,0.6000002810465758,0.633105908199979,0.9622106770108616,-0.020659888275647707,-0.02764793689118788,lesion,lesion
BHLHE40,lesion,888,0.5135175070440174,0.4533427670746943,0.9852764763465715,-0.24067588817164673,-0.03575102448806655,lesion,lesion
NFE2L2,internal_control,1434,0.7568353032933234,0.7584695085052016,1.1376679919783794,0.028116246490425042,0.09483505415613835,lesion,lesion
NFE2L2,lesion,888,0.6063567320784083,0.5773565023622734,1.0862422331180044,-0.20663113730075972,-0.031603322736815424,lesion,lesion
SOX2,internal_control,1434,0.5591147903332238,0.5511295455685236,0.9000494492395189,-0.018135442598306045,-0.013988697126379254,lesion,lesion
SOX2,lesion,888,0.4627726825685532,0.39001993150341846,0.9308126687498174,-0.2742648432812987,-0.027897316663794955,lesion,lesion
THRB,internal_control,1434,0.7499645683717036,0.7669127450706092,1.1631451602129903,-0.03609118460697327,0.18537844077242965,internal_control,internal_control
THRB,lesion,888,0.5914830669260396,0.5350089106246612,1.068922853163691,-0.22324817386469678,-0.03017230288885616,internal_control,internal_control
