tf,regulon,regulon_found_in_round2_auc,expected_higher_group_main,main_regulon_fdr,n_lesion,n_internal_control,mean_auc_lesion,mean_auc_internal_control,median_auc_lesion,median_auc_internal_control,mean_auc_diff_lesion_minus_internal_control,mannwhitney_u,p_value,group_direction_consistent_with_main,fdr_bh
NFE2L2,NFE2L2(+),True,lesion,1.6378667723003972e-19,25186,44782,0.018707582819498414,0.018411495083881145,0.0177319041947862,0.0181950509461426,0.0002960877356172689,560905571.5,0.23674014175731384,True,0.23674014175731384
THRB,THRB(+),True,internal_control,4.053395110306913e-114,25186,44782,0.3048803532732513,0.33432172224150086,0.2976827094474153,0.3172905525846702,-0.02944136896824956,508310735.0,2.412877338593614e-104,True,3.2171697847914854e-104
BHLHE40,BHLHE40(+),True,lesion,1.2760362542900071e-34,25186,44782,0.012967359401652915,0.010965803574178215,0.0112436583024818,0.0098724804607157,0.0020015558274747002,649489779.5,5.012730600165444e-244,True,2.0050922400661777e-243
SOX2,SOX2(+),True,lesion,9.389270902003821e-66,25186,44782,0.03648539713019978,0.025567023005726035,0.0,0.0,0.010918374124473742,627022597.5,1.1949703816656448e-162,True,2.3899407633312896e-162
