tf,expected_higher_group_main,main_regulon,main_regulon_fdr,main_expr_fdr,group_mean_log1p_norm_expr_lesion,group_mean_log1p_norm_expr_internal_control,group_positive_fraction_lesion,group_positive_fraction_internal_control,group_log2fc_lesion_vs_internal_control,group_fdr_bh,group_direction_consistent_with_main,directional_logfc_score_raw,directional_positive_fraction_diff_raw,informative_clusters,direction_consistent_clusters,significant_direction_consistent_clusters,cluster_support_fraction,significant_cluster_support_fraction,group_significance_raw,directional_logfc_scaled,directional_posfrac_scaled,group_significance_scaled,cluster_support_scaled,sig_cluster_support_scaled,support_score,support_rank
NFE2L2,lesion,NFE2L2(+),1.6378667723003972e-19,4.488026735548041e-06,0.44830353202361445,0.2916711461919466,0.4290875883427301,0.22212049484167745,0.3993295590328275,0.0,True,0.3993295590328275,0.20696709350105263,28,23,17,0.8214285714285714,0.6071428571428571,300.0,1.0,1.0,1.0,1.0,1.0,1.0,1
SOX2,lesion,SOX2(+),9.389270902003821e-66,6.358243030105812e-06,0.24173098187850775,0.15924637490130553,0.23961724767728104,0.11529185833593855,0.29104431474813547,0.0,True,0.29104431474813547,0.12432538934134249,28,19,11,0.6785714285714286,0.39285714285714285,300.0,0.7288323845924206,0.6007012382415766,1.0,0.5000000000000002,0.33333333333333337,0.730646615217675,2
THRB,internal_control,THRB(+),4.053395110306913e-114,7.47524063251269e-21,1.1113369212359103,1.154040511397481,0.6517509727626459,0.595462462596579,-0.23092615766042823,1.854555287654688e-15,True,0.23092615766042823,-0.05628851016606695,28,17,10,0.6071428571428571,0.35714285714285715,14.731760215036672,0.5782846584653769,0.0,0.0,0.2499999999999999,0.22222222222222232,0.20429338683856643,3
BHLHE40,lesion,BHLHE40(+),1.2760362542900071e-34,1.529949104785675e-07,0.07100724408016895,0.07417545059599376,0.09977765425236243,0.06118529766424009,-0.5576410887034097,1.0074445967814051e-66,False,-0.5576410887034097,0.03859235658812234,28,15,8,0.5357142857142857,0.2857142857142857,65.99677882803917,0.0,0.1864661475179196,0.17970811840689427,0.0,0.0,0.09086776357010093,4
