tf,expected_higher_group_main,main_regulon,main_regulon_fdr,main_expr_fdr,main_log2fc_lesion_vs_internal_control,lesion_group_label,control_group_label,n_lesion,n_internal_control,mean_log1p_norm_expr_lesion,mean_log1p_norm_expr_internal_control,median_log1p_norm_expr_lesion,median_log1p_norm_expr_internal_control,positive_fraction_lesion,positive_fraction_internal_control,positive_fraction_diff_lesion_minus_internal_control,log2fc_lesion_vs_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,gene_found,fdr_bh,group_direction_consistent_with_main
NFE2L2,lesion,NFE2L2(+),1.6378667723003972e-19,4.488026735548041e-06,0.6845241377063578,lesion,internal_control,25186,44782,0.44830353202361445,0.2916711461919466,0.0,0.0,0.4290875883427301,0.22212049484167745,0.20696709350105263,0.3993295590328275,667254591.0,0.0,True,True,0.0,True
THRB,internal_control,THRB(+),4.053395110306913e-114,7.47524063251269e-21,-0.3614128972332711,lesion,internal_control,25186,44782,1.1113369212359103,1.154040511397481,1.2657209660467226,1.3906224230060307,0.6517509727626459,0.595462462596579,0.05628851016606695,-0.23092615766042823,544137517.0,1.854555287654688e-15,True,True,1.854555287654688e-15,True
BHLHE40,lesion,BHLHE40(+),1.2760362542900071e-34,1.529949104785675e-07,1.1363433892502643,lesion,internal_control,25186,44782,0.07100724408016895,0.07417545059599376,0.0,0.0,0.09977765425236243,0.06118529766424009,0.03859235658812234,-0.5576410887034097,584177426.0,7.555834475860538e-67,False,True,1.0074445967814051e-66,False
SOX2,lesion,SOX2(+),9.389270902003821e-66,6.358243030105812e-06,0.6693425125580267,lesion,internal_control,25186,44782,0.24173098187850775,0.15924637490130553,0.0,0.0,0.23961724767728104,0.11529185833593855,0.12432538934134249,0.29104431474813547,628427766.0,0.0,True,True,0.0,True
