tf,expected_higher_group_main,main_regulon,main_regulon_fdr,main_expr_fdr,group_mean_log1p_norm_expr_lesion,group_mean_log1p_norm_expr_internal_control,group_positive_fraction_lesion,group_positive_fraction_internal_control,group_log2fc_lesion_vs_internal_control,group_fdr_bh,group_direction_consistent_with_main,directional_logfc_score_raw,directional_positive_fraction_diff_raw,informative_clusters,direction_consistent_clusters,significant_direction_consistent_clusters,cluster_support_fraction,significant_cluster_support_fraction,group_significance_raw,directional_logfc_scaled,directional_posfrac_scaled,group_significance_scaled,cluster_support_scaled,sig_cluster_support_scaled,support_score,support_rank,support_score_scaled,regulon,expr_support_score,expr_support_score_scaled,regulon_group_fdr_bh,regulon_group_direction_consistent_with_main,regulon_mean_auc_diff_lesion_minus_internal_control,regulon_directional_auc_diff_raw,regulon_informative_clusters,regulon_direction_consistent_clusters,regulon_significant_direction_consistent_clusters,regulon_cluster_support_fraction,regulon_significant_cluster_support_fraction,regulon_group_significance_raw,regulon_directional_auc_scaled,regulon_group_significance_scaled,regulon_cluster_support_scaled,regulon_sig_cluster_support_scaled,regulon_support_score,combined_support_score,combined_rank,regulon_regulon,regulon_found_in_round2_auc,expected_higher_group_main_regulon,main_regulon_fdr_regulon,n_lesion,n_internal_control,mean_auc_lesion,mean_auc_internal_control,median_auc_lesion,median_auc_internal_control,mean_auc_diff_lesion_minus_internal_control,mannwhitney_u,p_value,group_direction_consistent_with_main_regulon,fdr_bh
BHLHE40,lesion,BHLHE40(+),1.2760362542900071e-34,1.529949104785675e-07,0.0710072440801689,0.0741754505959937,0.0997776542523624,0.06118529766424,-0.5576410887034097,1.0074445967814052e-66,False,-0.5576410887034097,0.0385923565881223,28,15,8,0.5357142857142857,0.2857142857142857,65.99677882803917,0.0,0.1864661475179196,0.1797081184068942,0.0,0.0,0.0908677635701009,4,0.0,BHLHE40(+),0.0908677635701009,0.0,2.0050922400661777e-243,True,0.0020015558274747002,0.0020015558274747002,28,21,14,0.75,0.5,242.69786564377682,0.05851609659363716,1.0,1.0,0.3333333333333333,0.6038139671411064,0.3622883802846638,4,BHLHE40(+),True,lesion,1.2760362542900071e-34,25186,44782,0.012967359401652915,0.010965803574178215,0.0112436583024818,0.0098724804607157,0.0020015558274747002,649489779.5,5.012730600165444e-244,True,2.0050922400661777e-243
NFE2L2,lesion,NFE2L2(+),1.6378667723003972e-19,4.488026735548041e-06,0.4483035320236144,0.2916711461919466,0.4290875883427301,0.2221204948416774,0.3993295590328275,0.0,True,0.3993295590328275,0.2069670935010526,28,23,17,0.8214285714285714,0.6071428571428571,300.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,NFE2L2(+),1.0,1.0,0.23674014175731384,True,0.0002960877356172689,0.0002960877356172689,28,15,13,0.5357142857142857,0.4642857142857143,0.6257280966733286,0.0,0.0,0.0,0.0,0.0,0.4,3,NFE2L2(+),True,lesion,1.6378667723003972e-19,25186,44782,0.018707582819498414,0.018411495083881145,0.0177319041947862,0.0181950509461426,0.0002960877356172689,560905571.5,0.23674014175731384,True,0.23674014175731384
SOX2,lesion,SOX2(+),9.389270902003821e-66,6.358243030105812e-06,0.2417309818785077,0.1592463749013055,0.239617247677281,0.1152918583359385,0.2910443147481354,0.0,True,0.2910443147481354,0.1243253893413424,28,19,11,0.6785714285714286,0.3928571428571428,300.0,0.7288323845924206,0.6007012382415766,1.0,0.5000000000000002,0.3333333333333333,0.730646615217675,2,0.7037247454341105,SOX2(+),0.730646615217675,0.7037247454341105,2.3899407633312896e-162,True,0.010918374124473742,0.010918374124473742,28,19,13,0.6785714285714286,0.4642857142857143,161.62161286326824,0.3644599036142877,0.665073999833077,0.6666666666666669,0.0,0.49359056619823155,0.577644237892583,1,SOX2(+),True,lesion,9.389270902003821e-66,25186,44782,0.03648539713019978,0.025567023005726035,0.0,0.0,0.010918374124473742,627022597.5,1.1949703816656448e-162,True,2.3899407633312896e-162
THRB,internal_control,THRB(+),4.053395110306913e-114,7.47524063251269e-21,1.1113369212359103,1.154040511397481,0.6517509727626459,0.595462462596579,-0.2309261576604282,1.854555287654688e-15,True,0.2309261576604282,-0.0562885101660669,28,17,10,0.6071428571428571,0.3571428571428571,14.731760215036672,0.5782846584653769,0.0,0.0,0.2499999999999999,0.2222222222222223,0.2042933868385664,3,0.12476251388233715,THRB(+),0.2042933868385664,0.12476251388233715,3.2171697847914854e-104,True,-0.02944136896824956,0.02944136896824956,28,18,16,0.6428571428571429,0.5714285714285714,103.49252601878335,1.0,0.42494274212823746,0.5000000000000002,1.0,0.694977096851295,0.46689126366371186,2,THRB(+),True,internal_control,4.053395110306913e-114,25186,44782,0.3048803532732513,0.33432172224150086,0.2976827094474153,0.3172905525846702,-0.02944136896824956,508310735.0,2.412877338593614e-104,True,3.2171697847914854e-104
