tf,expected_higher_group_main,regulon,expr_support_score,expr_support_score_scaled,regulon_group_fdr_bh,regulon_group_direction_consistent_with_main,regulon_mean_auc_diff_lesion_minus_internal_control,regulon_directional_auc_diff_raw,regulon_informative_clusters,regulon_direction_consistent_clusters,regulon_significant_direction_consistent_clusters,regulon_cluster_support_fraction,regulon_significant_cluster_support_fraction,regulon_group_significance_raw,regulon_directional_auc_scaled,regulon_group_significance_scaled,regulon_cluster_support_scaled,regulon_sig_cluster_support_scaled,regulon_support_score,combined_support_score,combined_rank
SOX2,lesion,SOX2(+),0.730646615217675,0.7037247454341105,2.3899407633312896e-162,True,0.010918374124473742,0.010918374124473742,28,19,13,0.6785714285714286,0.4642857142857143,161.62161286326824,0.3644599036142877,0.665073999833077,0.6666666666666669,0.0,0.49359056619823155,0.577644237892583,1
THRB,internal_control,THRB(+),0.2042933868385664,0.12476251388233715,3.2171697847914854e-104,True,-0.02944136896824956,0.02944136896824956,28,18,16,0.6428571428571429,0.5714285714285714,103.49252601878335,1.0,0.42494274212823746,0.5000000000000002,1.0,0.694977096851295,0.46689126366371186,2
NFE2L2,lesion,NFE2L2(+),1.0,1.0,0.23674014175731384,True,0.0002960877356172689,0.0002960877356172689,28,15,13,0.5357142857142857,0.4642857142857143,0.6257280966733286,0.0,0.0,0.0,0.0,0.0,0.4,3
BHLHE40,lesion,BHLHE40(+),0.0908677635701009,0.0,2.0050922400661777e-243,True,0.0020015558274747002,0.0020015558274747002,28,21,14,0.75,0.5,242.69786564377682,0.05851609659363716,1.0,1.0,0.3333333333333333,0.6038139671411064,0.3622883802846638,4
