analysis_unit,group,n_cells,NFE2L2,THRB,BHLHE40,SOX2,HMGA1,SATB2,RARB
GSM8299712,internal_control,523,0.11634164763682203,0.7737128318609745,0.08634718003937437,0.10335872259194007,0.025931364930505074,0.2356593170226418,0.19835561734711463
GSM8299716,lesion,426,0.12237786137861825,0.37885936699422873,0.10958064300283579,0.25353562237313365,0.06379127220366534,0.12234896527244732,0.12119442243741152
GSM8299718,internal_control,911,0.12341357687841917,0.5323037980891085,0.10931722332777621,0.22062424662444766,0.037437182435248066,0.1674468910605795,0.15724108884628335
GSM8299720,lesion,462,0.13651419109241528,0.37181617630831093,0.1318278850592447,0.2930433136769833,0.03473452317146171,0.1212791194776436,0.13068392126945963
