tf,dropped_sample,analysis_unit_col,gene_found,n_cells_remaining,lesion_cells_remaining,internal_control_cells_remaining,expr_mean_lesion,expr_mean_internal_control,expr_positive_fraction_lesion,expr_positive_fraction_internal_control,expr_log2fc,expr_direction,expr_p,expr_statistic,expr_fdr,full_data_expr_log2fc,expr_direction_consistent_with_full,expr_significant_fdr05,regulon,regulon_found,regulon_diff,regulon_direction,regulon_p,regulon_fdr,full_data_regulon_diff,regulon_direction_consistent_with_full,regulon_significant_fdr05,overall_consistency_flag
BHLHE40,GSM8299716,sample_id,True,1896,462,1434,0.2207792207792207,0.0983263598326359,0.170995670995671,0.0864714086471408,1.1669542487205935,lesion,2.49806302265728e-07,359545.5,3.497288231720192e-07,1.1443191191864623,True,True,BHLHE40(+),True,0.0308881600856066,lesion,1.6776217981438792e-58,2.935838146751788e-58,0.0202154966666537,True,True,True
SOX2,GSM8299716,sample_id,True,1896,462,1434,0.3939393939393939,0.207810320781032,0.3008658008658009,0.1757322175732217,0.9227063837422432,lesion,1.5592954485552292e-09,374732.5,2.728767034971651e-09,0.6719172641411649,True,True,SOX2(+),True,0.1151874555246426,lesion,1.6589936266353454e-58,2.935838146751788e-58,0.0962344414532012,True,True,True
HMGA1,GSM8299716,sample_id,True,1896,462,1434,0.0454545454545454,0.0446304044630404,0.0432900432900432,0.0411436541143654,0.0263976894785128,lesion,0.8455563479805628,331944.5,0.8455563479805628,0.7575026196052784,True,False,HMGA1(+),True,0.0014936744565627,lesion,0.2566857874181826,0.2566857874181826,0.0154330608166063,True,False,True
SATB2,GSM8299716,sample_id,True,1896,462,1434,0.5974025974025974,0.9539748953974896,0.1774891774891775,0.4107391910739191,-0.6752477899192346,internal_control,2.2085016124922332e-20,250629.5,1.5459511287445632e-19,-0.7068483432200912,True,True,SATB2(+),True,-0.071045804203688,internal_control,8.818765409269245e-65,3.0865678932442355e-64,-0.0705325673696943,True,True,True
RARB,GSM8299716,sample_id,True,1896,462,1434,0.2683982683982684,0.3584379358437936,0.145021645021645,0.2315202231520223,-0.4173479701709038,internal_control,0.0001044737445003,303033.5,0.0001218860352504,-0.6347310051122514,True,True,RARB(+),True,-0.041552215279707,internal_control,1.462323092827159e-49,2.0472523299580227e-49,-0.0461046099896761,True,True,True
NFE2L2,GSM8299718,sample_id,True,1411,888,523,0.597972972972973,0.2982791586998088,0.3626126126126126,0.2466539196940726,1.0034170994146556,lesion,2.625796026131293e-07,263476.0,4.595143045729763e-07,0.6859897689279468,True,True,NFE2L2(+),True,0.013390925822623,lesion,1.1940059402957482e-24,1.1940059402957482e-24,0.0088982287939654,True,True,True
THRB,GSM8299718,sample_id,True,1411,888,523,1.5337837837837838,1.739961759082218,0.4425675675675675,0.7571701720841301,-0.1819604770656936,internal_control,2.0171287624761163e-25,159214.5,7.059950668666407e-25,-0.3616213197615259,True,True,THRB(+),True,-0.3985178275884733,internal_control,8.648466066464869e-160,3.0269631232627035e-159,-0.2451540690346588,True,True,True
BHLHE40,GSM8299718,sample_id,True,1411,888,523,0.2173423423423423,0.0898661567877629,0.1587837837837837,0.0783938814531548,1.2741194460713512,lesion,1.00251388214476e-05,251197.0,1.169599529168887e-05,1.1443191191864623,True,True,BHLHE40(+),True,0.0348080416009174,lesion,6.429776296816101e-61,9.001686815542541e-61,0.0202154966666537,True,True,True
SOX2,GSM8299718,sample_id,True,1411,888,523,0.3310810810810811,0.1797323135755258,0.2522522522522522,0.1548757170172084,0.8813347593861808,lesion,9.455275925824773e-06,255670.0,1.169599529168887e-05,0.6719172641411649,True,True,SOX2(+),True,0.1707315770136018,lesion,5.075186350732561e-122,8.881576113781982e-122,0.0962344414532012,True,True,True
HMGA1,GSM8299718,sample_id,True,1411,888,523,0.0754504504504504,0.0439770554493307,0.072072072072072,0.0401529636711281,0.7787784906130572,lesion,0.0154405738542931,239591.5,0.0154405738542931,0.7575026196052784,True,True,HMGA1(+),True,0.0227425446010002,lesion,5.293622160751992e-28,6.175892520877324e-28,0.0154330608166063,True,True,True
SATB2,GSM8299718,sample_id,True,1411,888,523,0.5844594594594594,1.0841300191204588,0.1756756756756756,0.5984703632887189,-0.8913629255498263,internal_control,9.964729742758909e-58,133405.5,6.975310819931236e-57,-0.7068483432200912,True,True,SATB2(+),True,-0.1138669607110045,internal_control,2.1444932441610437e-167,1.5011452709127302e-166,-0.0705325673696943,True,True,True
RARB,GSM8299718,sample_id,True,1411,888,523,0.2308558558558558,0.4034416826003824,0.1126126126126126,0.3021032504780114,-0.8053678166315404,internal_control,6.5915888010774426e-18,189338.5,1.53803738691807e-17,-0.6347310051122514,True,True,RARB(+),True,-0.072224090787624,internal_control,6.906750505097735e-132,1.6115751178561383e-131,-0.0461046099896761,True,True,True
NFE2L2,GSM8299720,sample_id,True,1860,426,1434,0.5469483568075117,0.3716875871687587,0.3004694835680751,0.2824267782426778,0.5573141091274156,lesion,0.2005733745241013,315314.0,0.2340022702781181,0.6859897689279468,True,False,NFE2L2(+),True,0.0015435167131386,lesion,0.7219997889410441,0.7219997889410441,0.0088982287939654,True,False,True
THRB,GSM8299720,sample_id,True,1860,426,1434,1.4460093896713615,1.9707112970711296,0.392018779342723,0.6415620641562064,-0.4466395208973318,internal_control,1.564823922195067e-17,226083.5,5.4768837276827337e-17,-0.3616213197615259,True,True,THRB(+),True,-0.2414897063129313,internal_control,3.317362112701895e-70,2.3221534788913264e-69,-0.2451540690346588,True,True,True
BHLHE40,GSM8299720,sample_id,True,1860,426,1434,0.2136150234741784,0.0983263598326359,0.1455399061032863,0.0864714086471408,1.1193629683571689,lesion,0.0002151599010108,324173.5,0.0003012238614151,1.1443191191864623,True,True,BHLHE40(+),True,0.0086409180291977,lesion,0.0021415864835872,0.0024985175641851,0.0202154966666537,True,True,True
SOX2,GSM8299720,sample_id,True,1860,426,1434,0.2629107981220657,0.207810320781032,0.1995305164319248,0.1757322175732217,0.3393060886165383,lesion,0.2385533930210652,313115.5,0.2385533930210652,0.6719172641411649,True,False,SOX2(+),True,0.075679764220793,lesion,6.252233464519858e-28,8.753126850327802e-28,0.0962344414532012,True,True,True
HMGA1,GSM8299720,sample_id,True,1860,426,1434,0.107981220657277,0.0446304044630404,0.1032863849765258,0.0411436541143654,1.2746816255683049,lesion,9.160907683474868e-07,324372.0,1.6031588446081018e-06,0.7575026196052784,True,True,HMGA1(+),True,0.0305504234887663,lesion,3.8521501218508015e-42,6.741262713238903e-42,0.0154330608166063,True,True,True
SATB2,GSM8299720,sample_id,True,1860,426,1434,0.5704225352112676,0.9539748953974896,0.1737089201877934,0.4107391910739191,-0.7419203217871803,internal_control,1.3518320761530811e-18,232326.5,9.462824533071568e-18,-0.7068483432200912,True,True,SATB2(+),True,-0.0699759584088843,internal_control,4.053681638530422e-61,1.4187885734856476e-60,-0.0705325673696943,True,True,True
RARB,GSM8299720,sample_id,True,1860,426,1434,0.1901408450704225,0.3584379358437936,0.0774647887323943,0.2315202231520223,-0.9146548542706304,internal_control,6.828230721353487e-12,259240.0,1.5932538349824803e-11,-0.6347310051122514,True,True,RARB(+),True,-0.0510417141117552,internal_control,1.2149127777054939e-54,2.834796481312819e-54,-0.0461046099896761,True,True,True
