tf,gene_found,n_units_lesion,n_units_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,log2fc_lesion_vs_internal_control,mean_diff_lesion_minus_internal_control,direction,mannwhitney_u,p_value_descriptive_only,lesion_unit_values,internal_control_unit_values
NFE2L2,True,2,2,0.5959850009145784,0.35605505684716016,0.5959850009145784,0.35605505684716016,0.7431756787812211,0.23992994406741824,lesion,4.0,0.3333333333333333,0.546948;0.645022,0.298279;0.413831
THRB,True,2,2,1.5303640021949882,1.9215725370603187,1.5303640021949882,1.9215725370603187,-0.3284125936720059,-0.39120853486533047,internal_control,0.0,0.3333333333333333,1.44601;1.61472,1.73996;2.10318
BHLHE40,True,2,2,0.2171971221266996,0.09652473591309112,0.2171971221266996,0.09652473591309112,1.17003437203683,0.12067238621360847,lesion,4.0,0.3333333333333333,0.213615;0.220779,0.0898662;0.103183
SOX2,True,2,2,0.32842509603072984,0.20183103055285623,0.32842509603072984,0.20183103055285623,0.7024163706576501,0.1265940654778736,lesion,4.0,0.3333333333333333,0.262911;0.393939,0.179732;0.22393
HMGA1,True,2,2,0.07671788305591123,0.04449127196176748,0.07671788305591123,0.04449127196176748,0.7860405533920718,0.03222661109414376,lesion,4.0,0.3333333333333333,0.107981;0.0454545,0.0439771;0.0450055
SATB2,True,2,2,0.5839125663069324,0.9816917933143458,0.5839125663069324,0.9816917933143458,-0.749517794316656,-0.3977792270074133,internal_control,0.0,0.3333333333333333,0.570423;0.597403,1.08413;0.879254
RARB,True,2,2,0.22926955673434546,0.3680216096865798,0.22926955673434546,0.3680216096865798,-0.6827456781086058,-0.13875205295223436,internal_control,0.0,0.3333333333333333,0.190141;0.268398,0.403442;0.332602
