tf,dropped_donor,analysis_unit_col,gene_found,n_cells_remaining,lesion_cells_remaining,internal_control_cells_remaining,expr_mean_lesion,expr_mean_internal_control,expr_positive_fraction_lesion,expr_positive_fraction_internal_control,expr_log2fc,expr_direction,expr_p,expr_statistic,expr_fdr,full_data_expr_log2fc,expr_direction_consistent_with_full,expr_significant_fdr05,regulon,regulon_found,regulon_diff,regulon_direction,regulon_p,regulon_fdr,full_data_regulon_diff,regulon_direction_consistent_with_full,regulon_significant_fdr05,overall_consistency_flag
BHLHE40,GSM8299716,sample_id,True,1896,462,1434,0.22077922077922077,0.09832635983263599,0.170995670995671,0.08647140864714087,1.1669542487205935,lesion,2.4980630226572796e-07,359545.5,3.4972882317201917e-07,1.1443191191864623,True,True,BHLHE40(+),True,0.030888160085606672,lesion,1.677621798143879e-58,2.935838146751788e-58,0.02021549666665376,True,True,True
SOX2,GSM8299716,sample_id,True,1896,462,1434,0.3939393939393939,0.20781032078103207,0.3008658008658009,0.17573221757322174,0.9227063837422431,lesion,1.5592954485552292e-09,374732.5,2.728767034971651e-09,0.6719172641411649,True,True,SOX2(+),True,0.11518745552464266,lesion,1.6589936266353454e-58,2.935838146751788e-58,0.09623444145320126,True,True,True
HMGA1,GSM8299716,sample_id,True,1896,462,1434,0.045454545454545456,0.044630404463040445,0.04329004329004329,0.041143654114365415,0.026397689478512846,lesion,0.8455563479805628,331944.5,0.8455563479805628,0.7575026196052784,True,False,HMGA1(+),True,0.0014936744565627255,lesion,0.2566857874181826,0.2566857874181826,0.015433060816606364,True,False,True
SATB2,GSM8299716,sample_id,True,1896,462,1434,0.5974025974025974,0.9539748953974896,0.1774891774891775,0.4107391910739191,-0.6752477899192346,internal_control,2.208501612492233e-20,250629.5,1.545951128744563e-19,-0.7068483432200912,True,True,SATB2(+),True,-0.07104580420368804,internal_control,8.818765409269245e-65,3.0865678932442355e-64,-0.07053256736969436,True,True,True
RARB,GSM8299716,sample_id,True,1896,462,1434,0.2683982683982684,0.3584379358437936,0.14502164502164502,0.2315202231520223,-0.4173479701709038,internal_control,0.00010447374450039716,303033.5,0.00012188603525046335,-0.6347310051122514,True,True,RARB(+),True,-0.041552215279707094,internal_control,1.462323092827159e-49,2.0472523299580227e-49,-0.04610460998967611,True,True,True
NFE2L2,GSM8299718,sample_id,True,1411,888,523,0.597972972972973,0.2982791586998088,0.36261261261261263,0.24665391969407266,1.0034170994146556,lesion,2.625796026131293e-07,263476.0,4.595143045729763e-07,0.6859897689279468,True,True,NFE2L2(+),True,0.013390925822623051,lesion,1.1940059402957482e-24,1.1940059402957482e-24,0.008898228793965457,True,True,True
THRB,GSM8299718,sample_id,True,1411,888,523,1.5337837837837838,1.739961759082218,0.44256756756756754,0.7571701720841301,-0.1819604770656936,internal_control,2.0171287624761163e-25,159214.5,7.059950668666407e-25,-0.36162131976152595,True,True,THRB(+),True,-0.3985178275884733,internal_control,8.648466066464868e-160,3.0269631232627035e-159,-0.24515406903465886,True,True,True
BHLHE40,GSM8299718,sample_id,True,1411,888,523,0.21734234234234234,0.08986615678776291,0.15878378378378377,0.07839388145315487,1.2741194460713512,lesion,1.0025138821447601e-05,251197.0,1.169599529168887e-05,1.1443191191864623,True,True,BHLHE40(+),True,0.03480804160091741,lesion,6.4297762968161e-61,9.00168681554254e-61,0.02021549666665376,True,True,True
SOX2,GSM8299718,sample_id,True,1411,888,523,0.3310810810810811,0.17973231357552583,0.25225225225225223,0.15487571701720843,0.8813347593861808,lesion,9.455275925824771e-06,255670.0,1.169599529168887e-05,0.6719172641411649,True,True,SOX2(+),True,0.1707315770136018,lesion,5.075186350732561e-122,8.881576113781982e-122,0.09623444145320126,True,True,True
HMGA1,GSM8299718,sample_id,True,1411,888,523,0.07545045045045046,0.04397705544933078,0.07207207207207207,0.040152963671128104,0.7787784906130572,lesion,0.0154405738542931,239591.5,0.015440573854293102,0.7575026196052784,True,True,HMGA1(+),True,0.022742544601000274,lesion,5.293622160751992e-28,6.175892520877324e-28,0.015433060816606364,True,True,True
SATB2,GSM8299718,sample_id,True,1411,888,523,0.5844594594594594,1.0841300191204588,0.17567567567567569,0.5984703632887189,-0.8913629255498263,internal_control,9.964729742758909e-58,133405.5,6.975310819931236e-57,-0.7068483432200912,True,True,SATB2(+),True,-0.11386696071100454,internal_control,2.1444932441610433e-167,1.5011452709127302e-166,-0.07053256736969436,True,True,True
RARB,GSM8299718,sample_id,True,1411,888,523,0.23085585585585586,0.40344168260038243,0.11261261261261261,0.30210325047801145,-0.8053678166315404,internal_control,6.591588801077442e-18,189338.5,1.53803738691807e-17,-0.6347310051122514,True,True,RARB(+),True,-0.07222409078762401,internal_control,6.906750505097735e-132,1.6115751178561383e-131,-0.04610460998967611,True,True,True
NFE2L2,GSM8299720,sample_id,True,1860,426,1434,0.5469483568075117,0.3716875871687587,0.3004694835680751,0.2824267782426778,0.5573141091274156,lesion,0.2005733745241013,315314.0,0.23400227027811815,0.6859897689279468,True,False,NFE2L2(+),True,0.0015435167131386263,lesion,0.7219997889410441,0.7219997889410441,0.008898228793965457,True,False,True
THRB,GSM8299720,sample_id,True,1860,426,1434,1.4460093896713615,1.9707112970711298,0.392018779342723,0.6415620641562064,-0.44663952089733183,internal_control,1.564823922195067e-17,226083.5,5.476883727682734e-17,-0.36162131976152595,True,True,THRB(+),True,-0.24148970631293132,internal_control,3.317362112701895e-70,2.3221534788913264e-69,-0.24515406903465886,True,True,True
BHLHE40,GSM8299720,sample_id,True,1860,426,1434,0.2136150234741784,0.09832635983263599,0.14553990610328638,0.08647140864714087,1.1193629683571689,lesion,0.00021515990101080818,324173.5,0.00030122386141513143,1.1443191191864623,True,True,BHLHE40(+),True,0.008640918029197767,lesion,0.0021415864835872688,0.002498517564185147,0.02021549666665376,True,True,True
SOX2,GSM8299720,sample_id,True,1860,426,1434,0.26291079812206575,0.20781032078103207,0.19953051643192488,0.17573221757322174,0.3393060886165383,lesion,0.23855339302106526,313115.5,0.23855339302106526,0.6719172641411649,True,False,SOX2(+),True,0.07567976422079303,lesion,6.252233464519858e-28,8.753126850327802e-28,0.09623444145320126,True,True,True
HMGA1,GSM8299720,sample_id,True,1860,426,1434,0.107981220657277,0.044630404463040445,0.10328638497652583,0.041143654114365415,1.2746816255683047,lesion,9.160907683474868e-07,324372.0,1.6031588446081018e-06,0.7575026196052784,True,True,HMGA1(+),True,0.03055042348876636,lesion,3.8521501218508015e-42,6.741262713238903e-42,0.015433060816606364,True,True,True
SATB2,GSM8299720,sample_id,True,1860,426,1434,0.5704225352112676,0.9539748953974896,0.17370892018779344,0.4107391910739191,-0.7419203217871803,internal_control,1.351832076153081e-18,232326.5,9.462824533071567e-18,-0.7068483432200912,True,True,SATB2(+),True,-0.06997595840888432,internal_control,4.053681638530422e-61,1.4187885734856476e-60,-0.07053256736969436,True,True,True
RARB,GSM8299720,sample_id,True,1860,426,1434,0.19014084507042253,0.3584379358437936,0.07746478873239436,0.2315202231520223,-0.9146548542706305,internal_control,6.828230721353487e-12,259240.0,1.5932538349824803e-11,-0.6347310051122514,True,True,RARB(+),True,-0.051041714111755204,internal_control,1.2149127777054939e-54,2.834796481312819e-54,-0.04610460998967611,True,True,True
