combo_id,regulon_fdr_threshold,expr_abs_log2fc_threshold,positive_fraction_threshold,rule,n_retained,shortlist_members,core4_retained
31,0.05,0.0,0.05,regulon_significant_plus_direction,8,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
32,0.05,0.0,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
33,0.05,0.0,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
34,0.05,0.0,0.1,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
35,0.05,0.0,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
36,0.05,0.0,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
37,0.05,0.25,0.0,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
38,0.05,0.25,0.0,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
39,0.05,0.25,0.0,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
40,0.05,0.25,0.05,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
41,0.05,0.25,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
42,0.05,0.25,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
43,0.05,0.25,0.1,regulon_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
44,0.05,0.25,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
45,0.05,0.25,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
46,0.05,0.5,0.0,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
47,0.05,0.5,0.0,regulon_significant_plus_expression_significant,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
48,0.05,0.5,0.0,regulon_significant_plus_expression_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
49,0.05,0.5,0.05,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
50,0.05,0.5,0.05,regulon_significant_plus_expression_significant,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
51,0.05,0.5,0.05,regulon_significant_plus_expression_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
52,0.05,0.5,0.1,regulon_significant_plus_direction,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
53,0.05,0.5,0.1,regulon_significant_plus_expression_significant,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
54,0.05,0.5,0.1,regulon_significant_plus_expression_significant_plus_direction,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
55,0.1,0.0,0.0,regulon_significant_plus_direction,9,THRB;SATB2;RARB;SOX2;CEBPD;BHLHE40;ATF7;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
56,0.1,0.0,0.0,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
57,0.1,0.0,0.0,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
58,0.1,0.0,0.05,regulon_significant_plus_direction,8,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
