tf,dropped_donor,analysis_unit_col,gene_found,n_cells_remaining,lesion_cells_remaining,internal_control_cells_remaining,expr_mean_lesion,expr_mean_internal_control,expr_positive_fraction_lesion,expr_positive_fraction_internal_control,expr_log2fc,expr_direction,expr_p,expr_statistic,expr_fdr,full_data_expr_log2fc,expr_direction_consistent_with_full,expr_significant_fdr05
NFE2L2,FULL_DATA,sample_id,True,2322,888,1434,0.597972972972973,0.3716875871687587,0.36261261261261263,0.2824267782426778,0.6859897689279468,lesion,2.0400121525218367e-06,697518.5,2.8560170135305713e-06,0.6859897689279468,True,True
THRB,FULL_DATA,sample_id,True,2322,888,1434,1.5337837837837838,1.9707112970711298,0.44256756756756754,0.6415620641562064,-0.36162131976152595,internal_control,1.3591346604568527e-21,494129.5,4.756971311598985e-21,-0.36162131976152595,True,True
BHLHE40,FULL_DATA,sample_id,True,2322,888,1434,0.21734234234234234,0.09832635983263599,0.15878378378378377,0.08647140864714087,1.1443191191864623,lesion,5.563451290129727e-08,683719.0,9.736039757727023e-08,1.1443191191864623,True,True
SOX2,FULL_DATA,sample_id,True,2322,888,1434,0.3310810810810811,0.20781032078103207,0.25225225225225223,0.17573221757322174,0.6719172641411649,lesion,3.4681325618758974e-06,687848.0,4.0461546555218806e-06,0.6719172641411649,True,True
HMGA1,FULL_DATA,sample_id,True,2322,888,1434,0.07545045045045046,0.044630404463040445,0.07207207207207207,0.041143654114365415,0.7575026196052784,lesion,0.0012777557752058743,656316.5,0.0012777557752058743,0.7575026196052784,True,True
SATB2,FULL_DATA,sample_id,True,2322,888,1434,0.5844594594594594,0.9539748953974896,0.17567567567567569,0.4107391910739191,-0.7068483432200912,internal_control,2.1291395344764308e-32,482956.0,1.4903976741335015e-31,-0.7068483432200912,True,True
RARB,FULL_DATA,sample_id,True,2322,888,1434,0.23085585585585586,0.3584379358437936,0.11261261261261261,0.2315202231520223,-0.6347310051122514,internal_control,2.6176237734857405e-12,562273.5,6.107788804800061e-12,-0.6347310051122514,True,True
NFE2L2,GSM8299712,sample_id,True,1799,888,911,0.597972972972973,0.4138309549945115,0.36261261261261263,0.3029637760702525,0.5310387139138827,lesion,0.0012465815756964598,434042.5,0.0014543451716458697,0.6859897689279468,True,True
THRB,GSM8299712,sample_id,True,1799,888,911,1.5337837837837838,2.1031833150384194,0.44256756756756754,0.575192096597146,-0.4554794800175104,internal_control,1.401107834623448e-11,334915.0,9.222241175933938e-11,-0.36162131976152595,True,True
BHLHE40,GSM8299712,sample_id,True,1799,888,911,0.21734234234234234,0.10318331503841932,0.15878378378378377,0.09110867178924259,1.0747595556984164,lesion,8.800884048269747e-06,432522.0,1.5401547084472055e-05,1.1443191191864623,True,True
SOX2,GSM8299712,sample_id,True,1799,888,911,0.3310810810810811,0.2239297475301866,0.25225225225225223,0.1877058177826564,0.5641383782317181,lesion,0.0004838934428605178,432178.0,0.0006774508200047249,0.6719172641411649,True,True
HMGA1,GSM8299712,sample_id,True,1799,888,911,0.07545045045045046,0.04500548847420417,0.07207207207207207,0.04171240395170143,0.7454285503567464,lesion,0.005540441342185037,416725.0,0.005540441342185037,0.7575026196052784,True,True
SATB2,GSM8299712,sample_id,True,1799,888,911,0.5844594594594594,0.8792535675082327,0.17567567567567569,0.3029637760702525,-0.5891763257712763,internal_control,2.6349260502668392e-11,349550.5,9.222241175933938e-11,-0.7068483432200912,True,True
RARB,GSM8299712,sample_id,True,1799,888,911,0.23085585585585586,0.33260153677277715,0.11261261261261261,0.19099890230515917,-0.5268025046038353,internal_control,4.522002993946336e-06,372935.0,1.0551340319208118e-05,-0.6347310051122514,True,True
NFE2L2,GSM8299716,sample_id,True,1896,462,1434,0.645021645021645,0.3716875871687587,0.4199134199134199,0.2824267782426778,0.795257063344022,lesion,1.1240377579534442e-09,382204.5,2.6227547685580366e-09,0.6859897689279468,True,True
THRB,GSM8299716,sample_id,True,1896,462,1434,1.6147186147186148,1.9707112970711298,0.48917748917748916,0.6415620641562064,-0.28743366263145737,internal_control,1.2746402260318964e-10,268046.0,4.4612407911116376e-10,-0.36162131976152595,True,True
BHLHE40,GSM8299716,sample_id,True,1896,462,1434,0.22077922077922077,0.09832635983263599,0.170995670995671,0.08647140864714087,1.1669542487205935,lesion,2.4980630226572796e-07,359545.5,3.4972882317201917e-07,1.1443191191864623,True,True
SOX2,GSM8299716,sample_id,True,1896,462,1434,0.3939393939393939,0.20781032078103207,0.3008658008658009,0.17573221757322174,0.9227063837422431,lesion,1.5592954485552292e-09,374732.5,2.728767034971651e-09,0.6719172641411649,True,True
HMGA1,GSM8299716,sample_id,True,1896,462,1434,0.045454545454545456,0.044630404463040445,0.04329004329004329,0.041143654114365415,0.026397689478512846,lesion,0.8455563479805628,331944.5,0.8455563479805628,0.7575026196052784,True,False
SATB2,GSM8299716,sample_id,True,1896,462,1434,0.5974025974025974,0.9539748953974896,0.1774891774891775,0.4107391910739191,-0.6752477899192346,internal_control,2.208501612492233e-20,250629.5,1.545951128744563e-19,-0.7068483432200912,True,True
RARB,GSM8299716,sample_id,True,1896,462,1434,0.2683982683982684,0.3584379358437936,0.14502164502164502,0.2315202231520223,-0.4173479701709038,internal_control,0.00010447374450039716,303033.5,0.00012188603525046335,-0.6347310051122514,True,True
NFE2L2,GSM8299718,sample_id,True,1411,888,523,0.597972972972973,0.2982791586998088,0.36261261261261263,0.24665391969407266,1.0034170994146556,lesion,2.625796026131293e-07,263476.0,4.595143045729763e-07,0.6859897689279468,True,True
THRB,GSM8299718,sample_id,True,1411,888,523,1.5337837837837838,1.739961759082218,0.44256756756756754,0.7571701720841301,-0.1819604770656936,internal_control,2.0171287624761163e-25,159214.5,7.059950668666407e-25,-0.36162131976152595,True,True
BHLHE40,GSM8299718,sample_id,True,1411,888,523,0.21734234234234234,0.08986615678776291,0.15878378378378377,0.07839388145315487,1.2741194460713512,lesion,1.0025138821447601e-05,251197.0,1.169599529168887e-05,1.1443191191864623,True,True
SOX2,GSM8299718,sample_id,True,1411,888,523,0.3310810810810811,0.17973231357552583,0.25225225225225223,0.15487571701720843,0.8813347593861808,lesion,9.455275925824771e-06,255670.0,1.169599529168887e-05,0.6719172641411649,True,True
HMGA1,GSM8299718,sample_id,True,1411,888,523,0.07545045045045046,0.04397705544933078,0.07207207207207207,0.040152963671128104,0.7787784906130572,lesion,0.0154405738542931,239591.5,0.015440573854293102,0.7575026196052784,True,True
SATB2,GSM8299718,sample_id,True,1411,888,523,0.5844594594594594,1.0841300191204588,0.17567567567567569,0.5984703632887189,-0.8913629255498263,internal_control,9.964729742758909e-58,133405.5,6.975310819931236e-57,-0.7068483432200912,True,True
RARB,GSM8299718,sample_id,True,1411,888,523,0.23085585585585586,0.40344168260038243,0.11261261261261261,0.30210325047801145,-0.8053678166315404,internal_control,6.591588801077442e-18,189338.5,1.53803738691807e-17,-0.6347310051122514,True,True
NFE2L2,GSM8299720,sample_id,True,1860,426,1434,0.5469483568075117,0.3716875871687587,0.3004694835680751,0.2824267782426778,0.5573141091274156,lesion,0.2005733745241013,315314.0,0.23400227027811815,0.6859897689279468,True,False
THRB,GSM8299720,sample_id,True,1860,426,1434,1.4460093896713615,1.9707112970711298,0.392018779342723,0.6415620641562064,-0.44663952089733183,internal_control,1.564823922195067e-17,226083.5,5.476883727682734e-17,-0.36162131976152595,True,True
BHLHE40,GSM8299720,sample_id,True,1860,426,1434,0.2136150234741784,0.09832635983263599,0.14553990610328638,0.08647140864714087,1.1193629683571689,lesion,0.00021515990101080818,324173.5,0.00030122386141513143,1.1443191191864623,True,True
SOX2,GSM8299720,sample_id,True,1860,426,1434,0.26291079812206575,0.20781032078103207,0.19953051643192488,0.17573221757322174,0.3393060886165383,lesion,0.23855339302106526,313115.5,0.23855339302106526,0.6719172641411649,True,False
HMGA1,GSM8299720,sample_id,True,1860,426,1434,0.107981220657277,0.044630404463040445,0.10328638497652583,0.041143654114365415,1.2746816255683047,lesion,9.160907683474868e-07,324372.0,1.6031588446081018e-06,0.7575026196052784,True,True
SATB2,GSM8299720,sample_id,True,1860,426,1434,0.5704225352112676,0.9539748953974896,0.17370892018779344,0.4107391910739191,-0.7419203217871803,internal_control,1.351832076153081e-18,232326.5,9.462824533071567e-18,-0.7068483432200912,True,True
RARB,GSM8299720,sample_id,True,1860,426,1434,0.19014084507042253,0.3584379358437936,0.07746478873239436,0.2315202231520223,-0.9146548542706305,internal_control,6.828230721353487e-12,259240.0,1.5932538349824803e-11,-0.6347310051122514,True,True
