tf,regulon,regulon_found,n_units_lesion,n_units_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,log2fc_lesion_vs_internal_control,mean_diff_lesion_minus_internal_control,direction,mannwhitney_u,p_value_descriptive_only,lesion_unit_values,internal_control_unit_values
NFE2L2,NFE2L2(+),True,2,2,0.12944602623551676,0.1198776122576206,0.12944602623551676,0.1198776122576206,0.11078842342876755,0.009568413977896165,lesion,3.0,0.6666666666666666,0.122378;0.136514,0.116342;0.123414
THRB,THRB(+),True,2,2,0.3753377716512698,0.6530083149750415,0.3753377716512698,0.6530083149750415,-0.7989118792193951,-0.2776705433237717,internal_control,0.0,0.3333333333333333,0.378859;0.371816,0.773713;0.532304
BHLHE40,BHLHE40(+),True,2,2,0.12070426403104025,0.09783220168357529,0.12070426403104025,0.09783220168357529,0.3030953245356441,0.022872062347464958,lesion,4.0,0.3333333333333333,0.109581;0.131828,0.0863472;0.109317
SOX2,SOX2(+),True,2,2,0.2732894680250585,0.16199148460819385,0.2732894680250585,0.16199148460819385,0.7545118819294256,0.11129798341686464,lesion,4.0,0.3333333333333333,0.253536;0.293043,0.103359;0.220624
HMGA1,HMGA1(+),True,2,2,0.04926289768756353,0.031684273682876574,0.04926289768756353,0.031684273682876574,0.6367345305242764,0.017578624004686953,lesion,3.0,0.6666666666666666,0.0637913;0.0347345,0.0259314;0.0374372
SATB2,SATB2(+),True,2,2,0.12181404237504545,0.20155310404161064,0.12181404237504545,0.20155310404161064,-0.7264795444678981,-0.07973906166656519,internal_control,0.0,0.3333333333333333,0.122349;0.121279,0.235659;0.167447
RARB,RARB(+),True,2,2,0.12593917185343556,0.177798353096699,0.12593917185343556,0.177798353096699,-0.4975148718821877,-0.05185918124326344,internal_control,0.0,0.3333333333333333,0.121194;0.130684,0.198356;0.157241
