tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Contractile Actin Filament Bundle Assembly (GO:0030038),245,14,2,0.00816326530612245,21.341690962099126,0.0038509903965910364,CUL3;ITGB5,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Digestive Tract Morphogenesis (GO:0048546),245,14,2,0.00816326530612245,21.341690962099126,0.0038509903965910364,FGFR2;NIPBL,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Embryonic Cranial Skeleton Morphogenesis (GO:0048701),245,14,2,0.00816326530612245,21.341690962099126,0.0038509903965910364,FGFR2;NIPBL,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Mast Cell Degranulation (GO:0043304),245,14,2,0.00816326530612245,21.341690962099126,0.0038509903965910364,LYN;SYK,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Stress Fiber Assembly (GO:0043149),245,14,2,0.00816326530612245,21.341690962099126,0.0038509903965910364,CUL3;ITGB5,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Epithelial To Mesenchymal Transition (GO:0001837),245,47,3,0.012244897959183673,9.535649153278332,0.0038661662677937367,RBPJ;SMAD4;TGFB2,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Interleukin-2 Production (GO:0032663),245,47,3,0.012244897959183673,9.535649153278332,0.0038661662677937367,EZR;PDE4B;RUNX1,0.025123391871683866
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Growth Factor Stimulus (GO:0071363),245,154,5,0.02040816326530612,4.850384309567983,0.00388818811028345,NR3C1;PTPN12;RAP1A;SMAD4;SPRY2,0.025179369900387306
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Neurogenesis (GO:0022008),245,48,3,0.012244897959183673,9.336989795918367,0.004103746196227985,LPAR1;LRP4;TGFB2,0.02648397029730638
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),245,97,4,0.0163265306122449,6.1604881127708815,0.004173011956396866,LGALS3;RAP1B;SYK;TFRC,0.026838754979840118
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Lipid (GO:0071396),245,225,6,0.024489795918367346,3.98378231292517,0.004228017434204194,LYN;NFKB1;NR3C1;NRIP1;PDE4B;SYK,0.02709971584107671
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cardiac Myofibril Assembly (GO:0055003),245,15,2,0.00816326530612245,19.91891156462585,0.004423909235750645,MEF2A;NEBL,0.027973405874544485
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Corticosteroid Stimulus (GO:0071384),245,15,2,0.00816326530612245,19.91891156462585,0.004423909235750645,NR3C1;REST,0.027973405874544485
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008),245,15,2,0.00816326530612245,19.91891156462585,0.004423909235750645,PDGFC;PIK3C2A,0.027973405874544485
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Clathrin-Dependent Endocytosis (GO:2000369),245,15,2,0.00816326530612245,19.91891156462585,0.004423909235750645,BMP2K;WASL,0.027973405874544485
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Multicellular Organismal Process (GO:0051241),245,228,6,0.024489795918367346,3.931364124597207,0.004507136766693234,CORO1C;LRP4;RBPJ;RGS2;SPRED1;SPRY2,0.028404036402180848
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,SMAD Protein Signal Transduction (GO:0060395),245,50,3,0.012244897959183673,8.963510204081633,0.004605062243197207,SMAD2;SMAD4;TGFB2,0.02854226697268764
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cardiac Muscle Tissue Development (GO:0048738),245,50,3,0.012244897959183673,8.963510204081633,0.004605062243197207,AKAP13;NDUFV2;SMAD4,0.02854226697268764
