tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Intracellular Protein Transport (GO:0006886),458,323,22,0.048034934497816595,5.443116524936796,1.8069388807650634e-10,AP3B1;CLTC;EGR2;EIF4ENIF1;FAM53B;KIF13B;MYO6;NUP98;PHIP;RAB1A;RAB31;RAB7A;RIC1;SNX13;SNX9;STAT3;STX11;STX7;SYK;VPS26A;VPS45;WLS,4.6600953734930985e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Protein Phosphorylation (GO:0006468),458,499,27,0.05895196506550218,4.324049846417726,2.795523229817084e-10,ABL1;BMPR1A;CAMK2D;CDK6;CSNK1A1;CSNK1G1;DAPK1;DYRK1A;FAM20A;FGFR2;JAK1;LATS2;LRRK1;LYN;MAP2K1;MAP3K3;MAP4K4;PEAK1;PRKCA;RICTOR;SGK3;SMAD2;SYK;TAOK3;TGFB2;VRK1;YWHAZ,6.554231281543872e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Vesicle-Mediated Transport (GO:0016192),458,402,24,0.05240174672489083,4.7710356514371375,3.943186543231884e-10,AP1S2;AP3B1;CHMP3;CORO1C;CSNK1G1;CYTH1;GOLGA5;ITSN1;KIF1B;MYO6;PIK3C2A;PIP4K2A;RAB1A;RAB7A;RUBCN;SNX9;SPAG9;STEAP2;STX11;STX7;TBC1D4;USP6NL;VPS45;WASL,8.474565079162525e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,MicroRNAs in cancer,458,160,15,0.03275109170305677,7.49201692139738,1.971063296743372e-09,ABL1;CDK6;EZR;GLS;GRB2;MAP2K1;MYC;NFKB1;PRKCA;RDX;SPRY2;STAT3;TGFB2;ZEB1;ZEB2,9.539946356237922e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Protein Modification Process (GO:0036211),458,705,32,0.06986899563318777,3.6273405803834122,5.196174382695474e-10,ABL1;BMPR1A;CAMK2D;CDK6;CSNK1A1;DAPK1;DYRK1A;FAM20A;FBXO11;FBXW11;ILKAP;JAK1;LATS2;LRRK1;LYN;MAP2K1;MAP4K4;PEAK1;PPP2R5E;PPP3R1;PRKCA;PTPN12;PTPRJ;SGK3;ST6GALNAC2;SYK;TAOK3;TGFB2;UBE2D3;UST;VRK1;YWHAZ,1.030841056382433e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Human T-cell leukemia virus 1 infection,458,217,17,0.03711790393013101,6.260610146298272,2.645660575497576e-09,ANAPC1;ANAPC10;BCL2L1;CCNA1;EGR2;JAK1;MAP2K1;MAP3K3;MYC;NFATC1;NFKB1;NRP1;PPP3R1;SMAD2;SMAD4;TGFB2;XIAP,1.043186239397317e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Viral carcinogenesis,458,165,15,0.03275109170305677,7.264986105597459,3.017480857760834e-09,CCNA1;CDK6;EGR2;GRB2;GTF2A1;JAK1;LYN;NFKB1;RASA2;RBPJ;REL;SND1;STAT3;SYK;YWHAZ,1.043186239397317e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),458,521,27,0.05895196506550218,4.141460409524847,7.179639203558717e-10,AKAP13;BCAR3;BMPR1A;CNTN1;ETFA;FGFR2;ITGAV;LITAF;LPAR1;LYN;MAP3K3;MIOS;NFAT5;PDGFC;PPARG;PTPRJ;REL;RICTOR;RNF13;RTN4;SASH1;SMAD4;SPRY2;TAB2;TFRC;TGFB2;WLS,1.2530105372165113e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,go,Cellular Response To Organic Cyclic Compound (GO:0071407),458,149,15,0.03275109170305677,8.045118841769,7.287769700755203e-10,CTNNA1;ESR1;EZR;GABRB3;HSP90B1;LCOR;NCOA3;NR3C1;NR4A3;NRIP1;PKD2;RAP1A;RAP1B;RAPGEF3;TIPARP,1.2530105372165113e-07
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Gene Expression (GO:0010468),245,1101,29,0.11836734693877551,3.934934845872954,4.07911544525477e-10,AFF1;ATXN7L3B;BACH1;BAZ1A;BNC2;EZR;GPBP1L1;HNRNPH3;LITAF;LYN;MBNL1;MITF;NFE2L2;NFKB1;NFKBIZ;NR3C1;PPARG;RBPJ;RDX;REL;REST;SFMBT2;SLC38A2;SPRY2;TFRC;TGFB2;TIPARP;ZFHX3;ZNF516,1.276763134364743e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Transcriptional misregulation in cancer,458,173,15,0.03275109170305677,6.929032990887751,5.782583332496529e-09,AFF1;BCL2L1;BMP2K;CCNA1;MAF;MITF;MYC;NFKB1;NFKBIZ;NR4A3;PPARG;REL;RUNX1;SS18;ZEB1,1.6204420532496503e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Cell cycle,458,124,13,0.028384279475982533,8.378169460487392,6.067892848506208e-09,ABL1;ANAPC1;ANAPC10;CCNA1;CDK6;CUL1;MYC;ORC4;SMAD2;SMAD4;STAG2;TGFB2;YWHAZ,1.6204420532496503e-07
