tf,gene_found,expected_higher_group_main,main_regulon,main_regulon_fdr,main_expr_fdr,main_log2fc_lesion_vs_internal_control,overall_mean_norm_expr,overall_median_norm_expr,overall_positive_fraction,overall_mean_raw_expr,sample_mean_mean,sample_mean_sd,sample_mean_cv,donor_mean_mean,donor_mean_sd,donor_mean_cv,samples_detected_ge_5pct,samples_detected_fraction_ge_5pct,auc_status,direction_consistency_note,lesion_presence_score,direction_consistency_score,support_score,support_rank,support_interpretation
NFE2L2,True,lesion,NFE2L2(+),1.6378667723003972e-19,4.488026735548041e-06,0.6845241377063578,0.4403244533701159,0.0,0.2579173611720326,0.37406790069304324,0.3554455733638113,0.1046702678217501,0.2944762170792779,0.3554455733638113,0.1046702678217501,0.2944762170792779,5,1.0,skipped_no_auc,higher lesion expression is direction-consistent,1.0,1.0,1.0,1,higher expression in lesion-only external cohort supports main direction
THRB,True,internal_control,THRB(+),4.053395110306913e-114,7.47524063251269e-21,-0.3614128972332711,0.014025717165715901,0.0,0.01157996315466269,0.012895868058601632,0.018455595192060508,0.020124538039247377,1.0904301828154985,0.018455595192060508,0.020124538039247377,1.0904301828154985,1,0.2,skipped_no_auc,lower lesion expression is direction-consistent,0.0,0.8,0.8,2,lower expression in lesion-only external cohort supports main direction
SOX2,True,lesion,SOX2(+),9.389270902003821e-66,6.358243030105812e-06,0.6693425125580267,0.13850718005794838,0.0,0.06553206421615931,0.11448372664268795,0.14550376779743815,0.07829194506255617,0.5380750357719234,0.14550376779743815,0.07829194506255617,0.5380750357719234,4,0.8,skipped_no_auc,higher lesion expression is direction-consistent,0.35049847280052077,0.35049847280052077,0.35049847280052077,3,higher expression in lesion-only external cohort supports main direction
BHLHE40,True,lesion,BHLHE40(+),1.2760362542900071e-34,1.529949104785675e-07,1.1363433892502643,0.09900412154977385,0.0,0.06781296604965348,0.09263970523730151,0.05499280240700318,0.04624862672166824,0.8409941791905954,0.05499280240700318,0.04624862672166824,0.8409941791905954,2,0.4,skipped_no_auc,higher lesion expression is direction-consistent,0.23082891016270407,0.23082891016270407,0.23082891016270407,4,higher expression in lesion-only external cohort supports main direction
