tf,group,n_cells,mean_shift_length,median_shift_length,p90_shift_length,mean_delta_x,mean_delta_y
BHLHE40,internal_control,1434,0.6000002810465758,0.633105908199979,0.9622106770108616,-0.020659888275647707,-0.02764793689118788
BHLHE40,lesion,888,0.5135175070440174,0.4533427670746943,0.9852764763465715,-0.24067588817164673,-0.03575102448806655
