tf,group,n_cells,mean_shift_length,median_shift_length,p90_shift_length,mean_delta_x,mean_delta_y
SOX2,internal_control,1434,0.5591147903332238,0.5511295455685236,0.9000494492395189,-0.018135442598306045,-0.013988697126379254
SOX2,lesion,888,0.4627726825685532,0.39001993150341846,0.9308126687498174,-0.2742648432812987,-0.027897316663794955
