compound,normalized_compound_name,associated_axis,axis_assignment_score,axis_assignment_margin,axis_counts,supporting_query_sets,support_count,support_count_main_axes,main_supporting_gene_set,main_supporting_gene_set_score,best_adjusted_p,best_combined_score,best_rank,best_term,best_library,indicative_mechanism,indicative_drug_class,mechanism_interpretability_score,translational_caution_category,translational_suitability_score,include_in_main_axis_pool,note,enrichment_support_score,cross_signature_score,axis_relevance_score,axis_assignment_confidence_score,final_score_prebbb,main_table_exclusion_reason,main_table_eligible,weak_fdr_retained_reason,final_priority_tier,BBB_layer,BBB_score,BBB_note,translational_interpretation,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes,was_v2_top_priority_clue,weighted_pre_penalty_score_v21,v21_component_enrichment_support_score,v21_component_cross_signature_score,v21_component_axis_relevance_score,v21_component_mechanism_interpretability_score,v21_component_translational_suitability_score,v21_component_axis_assignment_confidence_score,weak_fdr_penalty_value,single_signature_penalty_value,tool_compound_penalty_value,low_cns_epilepsy_relevance_penalty_value,total_penalty_v21,final_score_v21,v21_penalty_reasons,lead_layer_v21,v21_evidence_tier,v21_layer_reason
Gabapentin enacarbil,Gabapentin enacarbil,THRB,0.5805327727430847,0.5805327727430847,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,318.3547328251434,12,Gabapentin enacarbil,DSigDB,calcium/synaptic,calcium/synaptic,1.0,cns_or_neuroactive_known_drug,0.95,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.153899985259403,1.0,1.0,1.0,0.7391699955778209,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.8177799970518805,0.0307799970518806,0.18,0.16,0.08,0.247,0.12,0.12,0.0,0.0,0.0,0.12,0.6977799970518805,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。
S-(+)-Rolipram,S-(+)-Rolipram,THRB,0.7086705865838903,0.7086705865838903,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,735.0172993440868,3,S-(+)-Rolipram TTD 00010743,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3594780252162938,1.0,1.0,1.0,0.7728434075648881,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.8068956050432587,0.07189560504325876,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6868956050432588,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。
Roflumilast,Roflumilast,THRB,0.6864215097399661,0.6864215097399661,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,662.6705253310397,5,Roflumilast CTD 00003916,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3237826947644516,1.0,1.0,1.0,0.7621348084293355,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7997565389528903,0.06475653895289032,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6797565389528903,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。
zaprinast,zaprinast,THRB,0.6864215097399661,0.6864215097399661,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,662.6705253310397,4,zaprinast TTD 00011899,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3237826947644516,1.0,1.0,1.0,0.7621348084293355,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7997565389528903,0.06475653895289032,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6797565389528903,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。
papaverine,papaverine,THRB,0.6678293697275418,0.6678293697275418,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,602.2149225510485,7,papaverine TTD 00010035,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2939543748657935,1.0,1.0,1.0,0.753186312459738,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,True,0.7937908749731587,0.058790874973158706,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6737908749731587,weak_fdr,supportive_manual_review_clues,manual_review_weak_fdr,THRB weak-FDR 候选；保留为 supportive/manual-review，不与 NFE2L2 强证据候选混为同一层级。
trichostatin A,trichostatin A,NFE2L2,0.7627814757346018,0.2753398893377261,NFE2L2:2;THRB:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets;THRB_core_program;THRB_regulon_targets,5,4,NFE2L2_regulon_targets,0.4758874030182371,2.3652249570962733e-30,255.24775114433743,4,trichostatin A CTD 00000660,DSigDB,metabolic/homeostatic; epigenetic/hdac,metabolic/homeostatic,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.5487946952214672,1.0,1.0,0.7753398893377261,0.8116655997134582,,True,,high_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.8177997257648206,0.10975893904429344,0.18,0.16,0.08,0.195,0.09304078672052714,0.0,0.0,0.2,0.0,0.2,0.6177997257648207,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。
MS-275,MS-275,NFE2L2,0.3483707186389,0.2013094546706476,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_regulon_targets,2,1,NFE2L2_regulon_targets,0.2257294656641774,1.3046773458148909e-07,75.69237835595213,41,MS-275 PC3 UP,DSigDB,epigenetic/hdac,epigenetic/hdac,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1238860348521572,1.0,1.0,0.7013094546706475,0.6782705668292989,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.7239343415309092,0.02477720697043144,0.18,0.16,0.08,0.195,0.0841571345604777,0.0,0.0,0.2,0.0,0.2,0.5239343415309092,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。
scriptaid,scriptaid,NFE2L2,0.3419024094450904,0.1980015886410389,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_regulon_targets,2,1,NFE2L2_regulon_targets,0.223028661542134,2.296311331422276e-07,60.24817034098197,45,scriptaid PC3 UP,DSigDB,epigenetic/hdac,epigenetic/hdac,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1126349675231535,1.0,1.0,0.6980015886410389,0.6746306173482293,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,True,False,False,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。,True,0.7212871841415553,0.0225269935046307,0.18,0.16,0.08,0.195,0.08376019063692466,0.0,0.0,0.2,0.0,0.2,0.5212871841415554,tool_or_broad_epigenetic,supportive_manual_review_clues,supportive_prebbb,NFE2L2 候选具一定支持，但因工具/机制/语境标签或排序未进入 primary。
